X,Y,Z,F
-14.3400,3.0600,27.8400,31.4650
-13.9800,4.9200,26.7600,30.5900
-13.7400,3.6600,30.6600,33.7970
-14.0400,-4.8000,27.1200,30.9140
-14.3400,3.0600,27.8400,31.4650
-13.9800,4.9200,26.7600,30.5900
-13.7400,3.6600,30.6600,33.7970
-14.0400,-0.7200,32.1000,35.0440
-14.3400,3.0600,27.8400,31.4650
-13.9800,4.9200,26.7600,30.5900
-13.7400,3.6600,30.6600,33.7970
-14.0400,-0.7200,32.1000,35.0440
-15.4800,-8.1600,33.1200,37.4590
-13.9800,4.9200,26.7600,30.5900
-13.7400,3.6600,30.6600,33.7970
-14.0400,-0.7200,32.1000,35.0440
-15.4800,-8.1600,33.1200,37.4590
-13.2000,-13.0800,30.0600,35.3400
-13.7400,3.6600,30.6600,33.7970
-14.0400,-0.7200,32.1000,35.0440
-15.4800,-8.1600,33.1200,37.4590
-13.2000,-13.0800,30.0600,35.3400
-9.8400,-13.6800,25.7400,30.7650
-14.0400,-0.7200,32.1000,35.0440
-15.4800,-8.1600,33.1200,37.4590
-13.2000,-13.0800,30.0600,35.3400
-9.8400,-13.6800,25.7400,30.7650
-2.6400,-10.0800,24.1200,26.2750
-15.4800,-8.1600,33.1200,37.4590
-13.2000,-13.0800,30.0600,35.3400
-9.8400,-13.6800,25.7400,30.7650
-2.6400,-10.0800,24.1200,26.2750
2.5200,-7.9800,25.3200,26.6670
-13.2000,-13.0800,30.0600,35.3400
-9.8400,-13.6800,25.7400,30.7650
-2.6400,-10.0800,24.1200,26.2750
2.5200,-7.9800,25.3200,26.6670
10.0200,-4.4400,29.0400,31.0390
-9.8400,-13.6800,25.7400,30.7650
-2.6400,-10.0800,24.1200,26.2750
2.5200,-7.9800,25.3200,26.6670
10.0200,-4.4400,29.0400,31.0390
13.1400,-2.0400,30.5400,33.3090
-2.6400,-10.0800,24.1200,26.2750
2.5200,-7.9800,25.3200,26.6670
10.0200,-4.4400,29.0400,31.0390
13.1400,-2.0400,30.5400,33.3090
14.5800,1.2000,29.6400,33.0540
2.5200,-7.9800,25.3200,26.6670
10.0200,-4.4400,29.0400,31.0390
13.1400,-2.0400,30.5400,33.3090
14.5800,1.2000,29.6400,33.0540
10.3200,-0.1800,25.8600,27.8440
10.0200,-4.4400,29.0400,31.0390
13.1400,-2.0400,30.5400,33.3090
14.5800,1.2000,29.6400,33.0540
10.3200,-0.1800,25.8600,27.8440
8.0400,-0.3000,23.7000,25.0280
13.1400,-2.0400,30.5400,33.3090
14.5800,1.2000,29.6400,33.0540
10.3200,-0.1800,25.8600,27.8440
8.0400,-0.3000,23.7000,25.0280
4.4400,-0.7200,21.6600,22.1220
14.5800,1.2000,29.6400,33.0540
10.3200,-0.1800,25.8600,27.8440
8.0400,-0.3000,23.7000,25.0280
4.4400,-0.7200,21.6600,22.1220
2.3400,-1.2000,19.1400,19.3200
10.3200,-0.1800,25.8600,27.8440
8.0400,-0.3000,23.7000,25.0280
4.4400,-0.7200,21.6600,22.1220
2.3400,-1.2000,19.1400,19.3200
-0.9600,-3.0600,16.6200,16.9270
8.0400,-0.3000,23.7000,25.0280
4.4400,-0.7200,21.6600,22.1220
2.3400,-1.2000,19.1400,19.3200
-0.9600,-3.0600,16.6200,16.9270
-4.3800,-4.3800,12.8400,14.2560
4.4400,-0.7200,21.6600,22.1220
2.3400,-1.2000,19.1400,19.3200
-0.9600,-3.0600,16.6200,16.9270
-4.3800,-4.3800,12.8400,14.2560
-6.7200,-3.8400,10.7400,13.2380
2.3400,-1.2000,19.1400,19.3200
-0.9600,-3.0600,16.6200,16.9270
-4.3800,-4.3800,12.8400,14.2560
-6.7200,-3.8400,10.7400,13.2380
-10.4400,-2.8200,8.6400,13.8420
-0.9600,-3.0600,16.6200,16.9270
-4.3800,-4.3800,12.8400,14.2560
-6.7200,-3.8400,10.7400,13.2380
-10.4400,-2.8200,8.6400,13.8420
-13.3800,-1.0200,9.5400,16.4640
-4.3800,-4.3800,12.8400,14.2560
-6.7200,-3.8400,10.7400,13.2380
-10.4400,-2.8200,8.6400,13.8420
-13.3800,-1.0200,9.5400,16.4640
-16.2600,0.4800,10.3200,19.2640
-6.7200,-3.8400,10.7400,13.2380
-10.4400,-2.8200,8.6400,13.8420
-13.3800,-1.0200,9.5400,16.4640
-16.2600,0.4800,10.3200,19.2640
-16.7400,-1.2600,10.5000,19.8010
-10.4400,-2.8200,8.6400,13.8420
-13.3800,-1.0200,9.5400,16.4640
-16.2600,0.4800,10.3200,19.2640
-16.7400,-1.2600,10.5000,19.8010
-17.7600,-3.9000,13.3200,22.5400
-13.3800,-1.0200,9.5400,16.4640
-16.2600,0.4800,10.3200,19.2640
-16.7400,-1.2600,10.5000,19.8010
-17.7600,-3.9000,13.3200,22.5400
-16.3200,-4.4400,16.3800,23.5450
-16.2600,0.4800,10.3200,19.2640
-16.7400,-1.2600,10.5000,19.8010
-17.7600,-3.9000,13.3200,22.5400
-16.3200,-4.4400,16.3800,23.5450
-13.8000,-3.0000,23.2800,27.2290
-16.7400,-1.2600,10.5000,19.8010
-17.7600,-3.9000,13.3200,22.5400
-16.3200,-4.4400,16.3800,23.5450
-13.8000,-3.0000,23.2800,27.2290
-10.2600,-2.8800,29.4600,31.3280
-17.7600,-3.9000,13.3200,22.5400
-16.3200,-4.4400,16.3800,23.5450
-13.8000,-3.0000,23.2800,27.2290
-10.2600,-2.8800,29.4600,31.3280
-6.3000,-9.1200,37.9200,39.5070
-16.3200,-4.4400,16.3800,23.5450
-13.8000,-3.0000,23.2800,27.2290
-10.2600,-2.8800,29.4600,31.3280
-6.3000,-9.1200,37.9200,39.5070
-3.5400,-15.9000,37.7400,41.1050
-13.8000,-3.0000,23.2800,27.2290
-10.2600,-2.8800,29.4600,31.3280
-6.3000,-9.1200,37.9200,39.5070
-3.5400,-15.9000,37.7400,41.1050
-2.0400,-21.8400,31.3200,38.2370
-10.2600,-2.8800,29.4600,31.3280
-6.3000,-9.1200,37.9200,39.5070
-3.5400,-15.9000,37.7400,41.1050
-2.0400,-21.8400,31.3200,38.2370
-0.3000,-21.7800,22.5000,31.3160
-6.3000,-9.1200,37.9200,39.5070
-3.5400,-15.9000,37.7400,41.1050
-2.0400,-21.8400,31.3200,38.2370
-0.3000,-21.7800,22.5000,31.3160
-1.0200,-18.6000,16.3800,24.8050
-3.5400,-15.9000,37.7400,41.1050
-2.0400,-21.8400,31.3200,38.2370
-0.3000,-21.7800,22.5000,31.3160
-1.0200,-18.6000,16.3800,24.8050
-2.5200,-11.7000,11.5200,16.6120
-2.0400,-21.8400,31.3200,38.2370
-0.3000,-21.7800,22.5000,31.3160
-1.0200,-18.6000,16.3800,24.8050
-2.5200,-11.7000,11.5200,16.6120
-2.5200,-6.4200,11.0400,13.0170
-0.3000,-21.7800,22.5000,31.3160
-1.0200,-18.6000,16.3800,24.8050
-2.5200,-11.7000,11.5200,16.6120
-2.5200,-6.4200,11.0400,13.0170
-3.0000,-5.6400,10.9800,12.7030
-1.0200,-18.6000,16.3800,24.8050
-2.5200,-11.7000,11.5200,16.6120
-2.5200,-6.4200,11.0400,13.0170
-3.0000,-5.6400,10.9800,12.7030
-2.0400,-10.0200,11.0400,15.0480
-2.5200,-11.7000,11.5200,16.6120
-2.5200,-6.4200,11.0400,13.0170
-3.0000,-5.6400,10.9800,12.7030
-2.0400,-10.0200,11.0400,15.0480
4.2600,-15.4800,8.7000,18.2610
-2.5200,-6.4200,11.0400,13.0170
-3.0000,-5.6400,10.9800,12.7030
-2.0400,-10.0200,11.0400,15.0480
4.2600,-15.4800,8.7000,18.2610
15.1800,-12.5400,6.2400,20.6550
-3.0000,-5.6400,10.9800,12.7030
-2.0400,-10.0200,11.0400,15.0480
4.2600,-15.4800,8.7000,18.2610
15.1800,-12.5400,6.2400,20.6550
31.8600,14.5800,3.0000,35.1660
-2.0400,-10.0200,11.0400,15.0480
4.2600,-15.4800,8.7000,18.2610
15.1800,-12.5400,6.2400,20.6550
31.8600,14.5800,3.0000,35.1660
30.5400,38.4000,2.1000,49.1090
4.2600,-15.4800,8.7000,18.2610
15.1800,-12.5400,6.2400,20.6550
31.8600,14.5800,3.0000,35.1660
30.5400,38.4000,2.1000,49.1090
23.5200,51.9600,8.5200,57.6680
15.1800,-12.5400,6.2400,20.6550
31.8600,14.5800,3.0000,35.1660
30.5400,38.4000,2.1000,49.1090
23.5200,51.9600,8.5200,57.6680
21.0600,53.1600,16.1400,59.4140
31.8600,14.5800,3.0000,35.1660
30.5400,38.4000,2.1000,49.1090
23.5200,51.9600,8.5200,57.6680
21.0600,53.1600,16.1400,59.4140
19.5600,49.2000,26.8800,59.3780
30.5400,38.4000,2.1000,49.1090
23.5200,51.9600,8.5200,57.6680
21.0600,53.1600,16.1400,59.4140
19.5600,49.2000,26.8800,59.3780
19.4400,37.1400,29.9400,51.5140
23.5200,51.9600,8.5200,57.6680
21.0600,53.1600,16.1400,59.4140
19.5600,49.2000,26.8800,59.3780
